dataset_code,lake,date_time,reference benchmark,surveying benchmark,lake level(masl),comments
LIMNO_LAKE_LEVELS,Lake Vanda,11/26/04 0:00,,Astro A 94.52m old datum,92.49,doran
LIMNO_LAKE_LEVELS,Lake Vida,11/26/04 0:00,,NZBM 350.00m,348.99,doran
LIMNO_LAKE_LEVELS,Lake Fryxell,1/2/05 0:00,BMT9,BMT9,17.45,Allen/?
LIMNO_LAKE_LEVELS,Lake Hoare,1/28/05 0:00,BMT13,ROCK,74.14,Allen/?
LIMNO_LAKE_LEVELS,Lake Bonney,1/31/05 0:00,BMT20,BON-MET,63.13,Allen
LIMNO_LAKE_LEVELS,Lake Hoare,11/11/05 0:00,BMT13,ROCK,74.05,Lawson/Burkemper
LIMNO_LAKE_LEVELS,Lake Fryxell,11/17/05 0:00,BMT9,BMT9,17.36,Medved/ Lawson
LIMNO_LAKE_LEVELS,Lake Bonney,11/22/05 0:00,BMT20,BON-MET,62.95,Burkember/Medved
LIMNO_LAKE_LEVELS,Lake Bonney,11/22/05 0:00,BMT20,BON-MET,63.22,meda/maciej
LIMNO_LAKE_LEVELS,Lake Vanda,11/25/05 0:00,,Astro A 94.52m old datum,92.53,Lawson/Medved/Burkemper
LIMNO_LAKE_LEVELS,Lake Vida,11/29/05 0:00,,NZBM 350.00m,349.26,Meda Lawson Burkemper
LIMNO_LAKE_LEVELS,Lake Fryxell,1/20/06 0:00,BMT9,BMT9,17.48,Koch/Horn
LIMNO_LAKE_LEVELS,Lake Hoare,1/29/06 0:00,BMT13,ROCK,74.2,Koch/Horn
LIMNO_LAKE_LEVELS,Don Juan Pond,1/31/06 0:00,,DVDP pipe 200.00m,198.42,stream team
LIMNO_LAKE_LEVELS,Lake Bonney,1/31/06 0:00,BMT20,BON-MET,63.37,Koch/Horn
LIMNO_LAKE_LEVELS,Lake Vanda,1/31/06 0:00,,Astro A 94.52m old datum,92.53,Stream team
LIMNO_LAKE_LEVELS,Lake Vida,1/31/06 0:00,,NZBM 350.00m,349.36,stream team
LIMNO_LAKE_LEVELS,Lake Fryxell,11/17/06 0:00,BMT9,BMT9,17.43,Medved/Maciej
LIMNO_LAKE_LEVELS,Don Juan Pond,12/9/06 0:00,,DVDP pipe 200.00m,198.55,meda maciek
LIMNO_LAKE_LEVELS,Lake Vanda,12/9/06 0:00,,Astro A 94.52m old datum,92.41,meda maciek
LIMNO_LAKE_LEVELS,Lake Vida,12/9/06 0:00,,NZBM 350.00m,349.35,Meda maciek
LIMNO_LAKE_LEVELS,Don Juan Pond,1/8/07 0:00,,DVDP pipe 200.00m,198.49,stream team
LIMNO_LAKE_LEVELS,Lake Vanda,1/18/07 0:00,,Astro A 94.52m old datum,92.42,Stream team
LIMNO_LAKE_LEVELS,Lake Vida,1/18/07 0:00,,NZBM 350.00m,349.49,stream team 
LIMNO_LAKE_LEVELS,Lake Fryxell,1/22/07 0:00,BMT9,BMT9,17.48,Koch
LIMNO_LAKE_LEVELS,Lake Bonney,1/26/07 0:00,BMT20,BON-MET,63.48,stream team
LIMNO_LAKE_LEVELS,Lake Bonney,11/8/07 0:00,BMT20,BON-MET,63.33,meda/jon
LIMNO_LAKE_LEVELS,Lake Hoare,11/8/07 0:00,BMT13,ROCK,74.21,meda/jon
LIMNO_LAKE_LEVELS,Lake Fryxell,11/14/07 0:00,BMT9,BMT9,17.44,Meda/Jon
LIMNO_LAKE_LEVELS,Lake Fryxell,1/3/08 0:00,BMT9,BMT9,17.48,Peter/Roman
LIMNO_LAKE_LEVELS,Lake Bonney,1/7/08 0:00,BMT21,BON-MET,63.47,peter/roman
LIMNO_LAKE_LEVELS,Lake Hoare,1/8/08 0:00,BMT13,ROCK,74.28,peter/roman
LIMNO_LAKE_LEVELS,Don Juan Pond,1/26/08 0:00,,DVDP pipe 200.00m,199.54,stream team
LIMNO_LAKE_LEVELS,Lake Bonney,1/26/08 0:00,BMT22,BON-MET,63.56,stream team (stanish)
