dataset_code,limno_run,location_name,location_code,date_time,depth_m,wire_corrected_depth_m,ctd_conductivity_mscm,ctd_temp_c,ctd_comments,filename
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,5.776,6.237,0.9624,2.043,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,5.883,6.344,0.9862,2.133,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,5.994,6.455,1.0132,2.225,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,6.094,6.555,1.0447,2.311,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,6.192,6.653,1.0818,2.386,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,6.289,6.75,1.1254,2.457,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,6.38,6.841,1.1737,2.525,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,6.527,6.988,1.2559,2.614,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,6.668,7.129,1.3531,2.685,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,6.752,7.213,1.4215,2.728,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,6.829,7.29,1.4872,2.77,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,6.911,7.372,1.5533,2.807,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,7.038,7.499,1.6649,2.853,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,7.161,7.622,1.7802,2.892,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,7.244,7.705,1.8602,2.914,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,7.33,7.791,1.9424,2.934,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,7.451,7.912,2.0582,2.961,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,7.572,8.033,2.1713,2.984,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,7.651,8.112,2.2446,2.997,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,7.762,8.223,2.3427,3.015,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,7.882,8.343,2.4364,3.029,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,7.971,8.432,2.5069,3.036,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,8.066,8.527,2.5785,3.043,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,8.155,8.616,2.6462,3.048,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,8.244,8.705,2.7062,3.052,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,8.335,8.796,2.7647,3.055,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,8.424,8.885,2.8233,3.057,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,8.565,9.026,2.9178,3.056,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,8.705,9.166,3.016,3.057,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,8.797,9.258,3.0756,3.056,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,8.896,9.357,3.1348,3.055,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,8.995,9.456,3.1958,3.052,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,9.088,9.549,3.2623,3.049,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,9.191,9.652,3.3267,3.045,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,9.285,9.746,3.3837,3.04,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,9.37,9.831,3.4435,3.035,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,9.461,9.922,3.5099,3.03,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,9.577,10.038,3.6075,3.022,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,9.71,10.171,3.6962,3.013,,LIMNO_CTD_2324.CSV
