Dataset, Plane_Height,Elevation_masl,Depth (0 = bottom of the lake), Area_2D, Volume,VolumeLayer,lake
,,36.83,13.7,401511.2235,2447585.163,39629.4,WLB
,,36.93,13.8,404216.8202,2487214.549,39629.4,WLB
,,37.03,13.9,406922.4169,2526843.935,39629.4,WLB
,,37.13,14,409628.0136,2566473.321,39629.4,WLB
,,37.23,14.1,412158.8882,2608709.26,42235.9,WLB
,,37.33,14.2,414689.7627,2650945.199,42235.9,WLB
,,37.43,14.3,417220.6373,2693181.138,42235.9,WLB
,,37.53,14.4,419751.5118,2735417.077,42235.9,WLB
,,37.63,14.5,422282.3864,2777653.016,42235.9,WLB
,,37.73,14.6,424813.261,2819888.955,42235.9,WLB
,,37.83,14.7,427344.1355,2862124.894,42235.9,WLB
,,37.93,14.8,429875.0101,2904360.833,42235.9,WLB
,,38.03,14.9,432405.8846,2946596.772,42235.9,WLB
,,38.13,15,434936.7592,2988832.711,42235.9,WLB
,,38.23,15.1,437391.5983,3033554.961,44722.3,WLB
,,38.33,15.2,439846.4373,3078277.212,44722.3,WLB
,,38.43,15.3,442301.2764,3122999.462,44722.3,WLB
,,38.53,15.4,444756.1154,3167721.713,44722.3,WLB
,,38.63,15.5,447210.9545,3212443.963,44722.3,WLB
,,38.73,15.6,449665.7935,3257166.213,44722.3,WLB
,,38.83,15.7,452120.6326,3301888.464,44722.3,WLB
,,38.93,15.8,454575.4716,3346610.714,44722.3,WLB
,,39.03,15.9,457030.3107,3391332.965,44722.3,WLB
,,39.13,16,459485.1497,3436055.215,44722.3,WLB
,,39.23,16.1,461865.0588,3483198.059,47142.8,WLB
,,39.33,16.2,464244.9678,3530340.902,47142.8,WLB
,,39.43,16.3,466624.8769,3577483.746,47142.8,WLB
,,39.53,16.4,469004.786,3624626.589,47142.8,WLB
,,39.63,16.5,471384.6951,3671769.433,47142.8,WLB
,,39.73,16.6,473764.6041,3718912.277,47142.8,WLB
,,39.83,16.7,476144.5132,3766055.12,47142.8,WLB
,,39.93,16.8,478524.4223,3813197.964,47142.8,WLB
,,40.03,16.9,480904.3313,3860340.807,47142.8,WLB
,,40.13,17,483284.2404,3907483.651,47142.8,WLB
,,40.23,17.1,485606.5319,3956977.454,49493.8,WLB
,,40.33,17.2,487928.8234,4006471.256,49493.8,WLB
,,40.43,17.3,490251.1149,4055965.059,49493.8,WLB
,,40.53,17.4,492573.4064,4105458.861,49493.8,WLB
,,40.63,17.5,494895.6979,4154952.664,49493.8,WLB
,,40.73,17.6,497217.9894,4204446.467,49493.8,WLB
,,40.83,17.7,499540.2809,4253940.269,49493.8,WLB
,,40.93,17.8,501862.5724,4303434.072,49493.8,WLB
,,41.03,17.9,504184.8639,4352927.874,49493.8,WLB
,,41.13,18,506507.1554,4402421.677,49493.8,WLB
,,41.23,18.1,508900.5877,4454260.302,51838.6,WLB
,,41.33,18.2,511294.0199,4506098.926,51838.6,WLB
,,41.43,18.3,513687.4522,4557937.551,51838.6,WLB
,,41.53,18.4,516080.8844,4609776.175,51838.6,WLB
,,41.63,18.5,518474.3167,4661614.8,51838.6,WLB
,,41.73,18.6,520867.749,4713453.425,51838.6,WLB
,,41.83,18.7,523261.1812,4765292.049,51838.6,WLB
,,41.93,18.8,525654.6135,4817130.674,51838.6,WLB
,,42.03,18.9,528048.0457,4868969.298,51838.6,WLB
,,42.13,19,530441.478,4920807.923,51838.6,WLB
,,42.23,19.1,532908.196,4975094.96,54287.0,WLB
,,42.33,19.2,535374.9139,5029381.997,54287.0,WLB
,,42.43,19.3,537841.6319,5083669.035,54287.0,WLB
,,42.53,19.4,540308.3499,5137956.072,54287.0,WLB
,,42.63,19.5,542775.0679,5192243.109,54287.0,WLB
,,42.73,19.6,545241.7858,5246530.146,54287.0,WLB
,,42.83,19.7,547708.5038,5300817.183,54287.0,WLB
,,42.93,19.8,550175.2218,5355104.221,54287.0,WLB
,,43.03,19.9,552641.9397,5409391.258,54287.0,WLB
,,43.13,20,555108.6577,5463678.295,54287.0,WLB
,,43.23,20.1,557485.9451,5520378.647,56700.4,WLB
,,43.33,20.2,559863.2326,5577078.998,56700.4,WLB
,,43.43,20.3,562240.52,5633779.35,56700.4,WLB
,,43.53,20.4,564617.8075,5690479.701,56700.4,WLB
,,43.63,20.5,566995.0949,5747180.053,56700.4,WLB
,,43.73,20.6,569372.3823,5803880.404,56700.4,WLB
,,43.83,20.7,571749.6698,5860580.756,56700.4,WLB
,,43.93,20.8,574126.9572,5917281.107,56700.4,WLB
,,44.03,20.9,576504.2447,5973981.459,56700.4,WLB
,,44.13,21,578881.5321,6030681.81,56700.4,WLB
,,44.23,21.1,581304.3104,6089767.267,59085.5,WLB
,,44.33,21.2,583727.0887,6148852.723,59085.5,WLB
,,44.43,21.3,586149.867,6207938.18,59085.5,WLB
,,44.53,21.4,588572.6453,6267023.636,59085.5,WLB
,,44.63,21.5,590995.4236,6326109.093,59085.5,WLB
,,44.73,21.6,593418.2018,6385194.55,59085.5,WLB
,,44.83,21.7,595840.9801,6444280.006,59085.5,WLB
,,44.93,21.8,598263.7584,6503365.463,59085.5,WLB
,,45.03,21.9,600686.5367,6562450.919,59085.5,WLB
,,45.13,22,603109.315,6621536.376,59085.5,WLB
,,45.23,22.1,605729.0389,6683168.594,61632.2,WLB
,,45.33,22.2,608348.7627,6744800.812,61632.2,WLB
,,45.43,22.3,610968.4866,6806433.03,61632.2,WLB
,,45.53,22.4,613588.2105,6868065.248,61632.2,WLB
,,45.63,22.5,616207.9344,6929697.466,61632.2,WLB
,,45.73,22.6,618827.6582,6991329.683,61632.2,WLB
,,45.83,22.7,621447.3821,7052961.901,61632.2,WLB
,,45.93,22.8,624067.106,7114594.119,61632.2,WLB
,,46.03,22.9,626686.8298,7176226.337,61632.2,WLB
,,46.13,23,629306.5537,7237858.555,61632.2,WLB
,,46.23,23.1,631796.7166,7302037.646,64179.1,WLB
,,46.33,23.2,634286.8794,7366216.737,64179.1,WLB
,,46.43,23.3,636777.0423,7430395.827,64179.1,WLB
,,46.53,23.4,639267.2052,7494574.918,64179.1,WLB
