location_name,date_time,ice.approx,ice.vol,heat_J,heatIce_J,Area_2D,vol,cum_vol,LL,tempV,tempUse,heatTot_J_m2,heatLake_J_m3,heatIce_J_m3,dec.date,yday
Lake Fryxell,2009-12-30,3.2300000000000004,21267780.363300003,302697528694218.75,6393094777207980,7220088.134,32949628.50958,35676582.31511644,17.7,2.101470780544615,2.33170625,-843535028.3099136,8484487.836324038,300599999.99999994,2009.9945205479453,364
Lake Fryxell,2010-11-10,3.8328571428571427,24795643.5793,259826265522828.56,7453570459937580,7257795.826,30147544.87618,32874498.68171644,17.807042253521125,1.9506492872551269,2.2161173913043477,-991174781.8317245,7903581.0717118,300600000,2010.8575342465754,314
Lake Fryxell,2010-12-08,3.711515151515152,24586918.7263,277004173848698.03,7390827769125780,7337087.577,31819656.806580003,34546610.61211644,17.964788732394368,1.9789264030158353,2.259646186440678,-969570489.7372636,8018273.54234123,300600000,2010.9342465753425,342
Lake Fryxell,2011-11-08,3.85,25147280.2166,255881571846546.78,7559272433109960,7337087.577,31259295.31628,33986249.12181644,18.03191489361702,1.8591701064321835,2.170724358974359,-995407344.4833591,7528973.583680683,300600000,2011.8520547945207,312
Lake Fryxell,2011-12-09,3.835178571428571,25324592.457200002,284774020966746.06,7612572492634320,7376737.309,31819656.806580003,34546610.61211644,18.097872340425532,2.035388993036459,2.2898283898305083,-993365788.2499465,8243182.642839874,300600000,2011.9369863013699,343
Lake Fryxell,2012-11-09,3.9439655172413794,25884953.9475,249905960555188.84,7781017156618501,7376737.309,31259295.31628,33986249.12181644,18.10952380952381,1.815146167621935,2.1589935897435897,-1020927122.7368999,7353149.200414979,300600000,2012.8551912568305,314
Lake Fryxell,2012-12-06,3.8506666666666667,25324592.457200002,283576544162884.94,7612572492634320,7376737.309,31819656.806580003,34546610.61211644,18.141666666666666,2.0266635394784425,2.293459745762712,-993528119.7460674,8208520.0006112,300600000,2012.9289617486338,341
Lake Fryxell,2013-11-16,4.2852,27929717.784700003,243787093245195.3,8395673166080821,7457364.937,30701927.31388,33428881.119416438,18.29641693811075,1.7929266583722223,2.1281788793103447,-1093132244.6605413,7292708.732138716,300600000,2013.8739726027397,320
Lake Fryxell,2013-12-09,4.115,26811988.292000003,243122589887517.25,8059683680575201,7457364.937,31819656.806580003,34546610.61211644,18.342105263157894,1.7259936724916343,2.086845338983051,-1048166632.1444883,7037523.669608489,300600000,2013.9369863013699,343
Lake Fryxell,2014-11-09,4.28,28122211.914300002,252634700173816.38,8453536901438581,7498621.32,31259295.31628,33986249.12181644,18.39859943977591,1.8298082320490712,2.1452606837606836,-1093654666.8107738,7433438.720121815,300600000,2014.854794520548,313
Lake Fryxell,2014-12-12,4.115,27561850.424000002,267318951193654.34,8285092237454401,7498621.32,31819656.806580003,34546610.61211644,18.389355742296917,1.9065091473727442,2.2066694915254237,-1069232988.8530425,7737921.215920912,300600000,2014.945205479452,346
Lake Fryxell,2015-11-08,4.165027397260275,27372349.782300003,248984852969920.5,8228128344559381,7457364.937,31259295.31628,33986249.12181644,18.315,1.799886120421738,2.1376153846153847,-1069968220.5440471,7326046.839634687,300600000,2015.8520547945207,312
Lake Fryxell,2015-12-07,4.175753424657534,28122211.914300002,260726507267610.16,8453536901438581,7498621.32,31259295.31628,33986249.12181644,18.35125,1.8913868790656732,2.1993675213675212,-1092575560.8326907,7671529.339206917,300600000,2015.9315068493152,341
Lake Fryxell,2016-11-06,4.64171052631579,30539472.9921,239431000520999.03,9180165581425260,7541434.912,29596177.72968,32323131.53521644,18.4993288590604,1.8279630554718929,2.1546666666666665,-1185548199.4119823,7407419.675910302,300600000,2016.8469945355191,311
Lake Fryxell,2016-12-11,4.545,29988105.8456,241419749158987.88,9014424617187360,7541434.912,30147544.87618,32874498.68171644,18.5,1.8103354318769362,2.148978260869565,-1163307112.028334,7343678.499750217,300600000,2016.9426229508197,346
Lake Fryxell,2017-11-08,5.03,32493634.3451,215291367995491.66,9767586484137060,7498621.32,26887872.88548,29614826.69101644,18.409150326797384,1.792628365758354,2.0908440366972476,-1273873517.344328,7269715.613794208,300600000,2017.8520547945207,312
Lake Fryxell,2017-12-07,4.86,31420657.369000003,224150535868709.44,9445049605121400,7498621.32,27960849.861580003,30687803.66711644,18.4,1.7979667650897653,2.10602027027027,-1229679253.7928412,7304222.169177205,300600000,2017.9315068493152,341
Lake Fryxell,2018-11-09,5.076875,32273856.718200002,192281139412252.25,9701521329490920,7457364.937,26357788.38038,29084742.18591644,18.304290429042904,1.616589509779283,1.9342108796296296,-1275147491.1598077,6611065.629639983,300600000,2018.854794520548,313
Lake Fryxell,2018-12-08,4.95,31743772.2131,200562833844033.84,9542177927257860,7457364.937,26887872.88548,29614826.69101644,18.323529411764707,1.6618115121125405,1.964573394495413,-1252669699.3283844,6772379.11727756,300600000,2018.9342465753425,342
Lake Fryxell,2019-12-07,4.71,30670795.237000003,186777723068450.88,9219641048242200,7457364.937,27960849.861580003,30687803.66711644,18.3,1.4850705484533964,1.839436936936937,-1211267438.4965198,6086382.886651247,300599999.99999994,2019.9315068493152,341
Lake Fryxell,2021-12-20,4.237848837209302,27738363.7287,232986449622818.66,8338152136847221,7416593.411,30147544.87618,32874498.68171644,18.235185185185184,1.7408260024738647,2.000717391304348,-1092842122.8003597,7087148.366231877,300600000,2021.9671232876713,354
Lake Fryxell,2022-11-10,3.538,23793670.1131,257655696813886.03,7152377235997860,7416593.411,34092238.49178,36819192.29731644,18.2,1.711150226090088,2.012766393442623,-929634558.2269609,6997863.905685547,300600000,2022.8575342465754,314
Lake Fryxell,2022-12-09,3.35,22638195.1917,266475776723622,6805041474625020,7416593.411,35247713.41318,37974667.21871644,18.2,1.7207036606681567,2.0595201612903224,-881613071.602881,7017198.470465727,300600000,2022.9369863013699,343
Lake Fryxell,2023-11-05,3.416,23052010.772,291710988990287.4,6929434438063200,7376737.309,34092238.49178,36819192.29731644,18.1,1.9529495453534917,2.311610655737705,-899818330.3849722,7922797.073730177,300600000,2023.8438356164384,309
Lake Fryxell,2023-11-13,3.44,23052010.772,294302243165925.3,6929434438063200,7376737.309,34092238.49178,36819192.29731644,18.1,1.9712423552662721,2.3272418032786883,-899467056.6351972,7993174.885245255,300600000,2023.8657534246574,317
Lake Hoare,1995-11-07,4.062247706422018,7626431.0338,17309451498120.357,2292505168760280,2213550.867,13237273.44221,17372095.381748397,74,0.3298669647147913,0.3261625,-1027848851.8972713,996393.99380147,300600000,1995.849315068493,311
Lake Hoare,1995-11-23,4.074724770642201,7626431.0338,18435199948639.383,2292505168760280,2213550.867,13237273.44221,17372095.381748397,74,0.34959491392566755,0.33673749999999997,-1027340280.5934436,1061196.1046453794,300600000,1995.8931506849315,327
Lake Hoare,1995-12-25,4.099678899082568,7626431.0338,20577080654297.996,2292505168760280,2213550.867,13237273.44221,17372095.381748397,74,0.38808498309099193,0.3713625,-1026372658.5082275,1184490.4257155326,300600000,1995.9808219178083,359
Lake Hoare,1996-11-07,4.347660550458715,8067861.0641,13603903274157.893,2425199035868460,2181197.115,12574488.325210001,16709310.264748398,73.91059190031153,0.27563966143930596,0.27620689655172415,-1105629159.331756,814151.0965212025,300600000,1996.8497267759562,312
Lake Hoare,1996-12-04,4.216622340425532,7903460.737000001,16054776263417.664,2375780297542200,2181197.115,12738888.65231,16873710.5918484,73.90218068535826,0.31830758167906814,0.3097094017094017,-1081848818.2709622,951466.8499277,300600000,1996.9234972677596,339
Lake Hoare,1997-12-27,4.46619937694704,8231289.429400001,12856215556800.06,2474325602477640,2181197.115,12411059.95991,16545881.899448399,73.9,0.2634020577740909,0.2562217391304348,-1128494701.3699126,777003.9478662456,300600000,1997.986301369863,361
Lake Hoare,1998-11-04,4.843703703703704,8873255.704,4633635960503.456,2667300664622400,2181197.115,11769093.68531,15903915.6248484,73.9,0.10937855512969286,0.11965765765765767,-1220736544.327355,291351.8953322305,300600000,1998.841095890411,308
