location_name,wateryear,chosen_date,Q_total,vol,tempV,tempUse,LL,ice.approx,delta_t,delta_temp,flux_W,flux_W_m2
East Lake Bonney,2006,2005-12-03,5042866263048.507,56887729.17104664,3.1921391363268525,2.9034191176470587,63.19857142857143,3.8699623750734866,30844800,-0.10698722676381722,163491.61813493707,0.07370532282194533
East Lake Bonney,2007,2006-12-08,53311652020746,59835362.52691663,3.2766899055865406,2.997637871805613,63.48638888888889,3.24067947353204,31968000,0.09421875415855441,1667656.7824307433,0.7518133523139829
East Lake Bonney,2008,2007-12-04,15495243976830.957,59468696.58634663,3.32295313899353,2.963223837209302,63.38666666666667,3.1776263297872345,31190400,-0.034414034596311094,496795.29524568317,0.223965350824808
East Lake Bonney,2009,2008-12-06,14536838961088.01,59734259.297784396,3.3590832766894954,2.9963577536231885,63.391304347826086,3.107777276469098,31838400,0.03313391641388641,456581.95641389047,0.20583636565628838
East Lake Bonney,2010,2009-12-01,7970890166316.075,61122937.41894664,3.298740862479878,2.9481253591954024,63.911,3.225144736842105,31104000,-0.04823239442778604,256265.7589479191,0.11552977887758108
East Lake Bonney,2011,2010-12-02,18157007411535.23,61794524.25476663,3.3327775795572037,2.971073424068768,64.3111111111111,3.41476501305483,31579200,0.02294806487336576,574967.3016268692,0.2592068698194338
East Lake Bonney,2012,2011-11-26,3990067121949.535,62385898.2662844,3.318882305309687,2.9432080965909093,64.66506024096385,3.485,31017600,-0.02786532747785886,128638.80899713501,0.05799297268401247
East Lake Bonney,2013,2012-12-02,8273588060002.928,64508413.26691666,3.2375549775426213,2.933133827683616,65.13764705882353,3.4299999999999997,32140800,-0.010074268907293238,257416.99210980834,0.11604877803367447
East Lake Bonney,2014,2013-12-03,-23785741688199.34,64407310.03778442,3.1521106289718426,2.680954234972677,65.49230769230769,3.7395777227722773,31665600,-0.2521795927109389,-751153.9869195386,-0.3386353852660595
East Lake Bonney,2015,2014-12-04,15506054146651.879,65086124.43398442,3.1785103707924467,2.7619603994490354,65.60522788203752,3.703333333333333,31622400,0.08100616447635822,490350.3259288314,0.2210598285142757
East Lake Bonney,2016,2015-12-04,22900249367174.29,65426278.00088442,3.2435391757607386,2.814523263888888,65.77619047619048,3.789939429289304,31492800,0.052562864439852586,727158.2510025875,0.32781762297166894
East Lake Bonney,2017,2016-12-05,-13334650679217.242,65086124.433984414,3.214383837919358,2.776769178082192,65.82337662337662,3.967941176470588,31708800,-0.037754085806696036,-420534.6994909061,-0.18958553433745387
East Lake Bonney,2018,2017-12-05,-8708003277830.594,64730138.27530218,3.1977613861371665,2.6759397018970184,65.8,3.9800433526011565,31536000,-0.10082947618517357,-276128.9725339483,-0.1244845166576623
East Lake Bonney,2019,2018-12-06,-24067270073752.688,64713803.01251995,3.107769096864961,2.6094400745257453,65.81935483870967,4.0796875,31622400,-0.06649962737127302,-761082.9688370486,-0.3431115708092189
East Lake Bonney,2022,2021-12-16,-5070962546151.166,66075403.25391995,3.0267285192868316,2.583367292225201,65.96206896551725,3.720862068965517,95558400,-0.02607278230054444,-53066.63303436607,-0.023923509740074206
East Lake Bonney,2023,2022-12-09,13848540393651.652,68132375.65392,2.9833138240813932,2.5623093667546173,66.02037037037037,3.3523863636363638,30931200,-0.021057925470583605,447720.76070930494,0.20184155969959483
East Lake Bonney,2024,2023-11-22,17794121613521.637,67444764.65391995,3.0778979859073643,2.6530464190981435,65.9,3.3,30067200,0.09073705234352625,591811.7288447756,0.2668006777467727
Lake Fryxell,1997,1996-11-20,7684450561323.041,26357788.38038002,1.8261848743010467,2.1635555555555555,17.308879781420764,4.065,NA,NA,NA,NA
Lake Fryxell,1998,1997-11-19,-30786207808131.5,27960849.86158002,1.4582389365027573,1.8834009009009007,17.2,3.631,31449600,-0.2801546546546547,-978906.1803053616,-0.44131067301722426
Lake Fryxell,1999,1998-11-24,-30206232502421.98,24289467.624680012,1.3830464736037362,1.7495240384615387,17.2,4.34907677356657,31968000,-0.13387686243936203,-944889.6553560429,-0.42597533667844645
Lake Fryxell,2000,1999-11-27,-7587972458150.353,22349653.96708002,1.4208115737977849,1.713805,17.2,4.828010698198198,31795200,-0.03571903846153868,-238651.50897463618,-0.10758891930717948
Lake Fryxell,2001,2000-12-04,-20144341168949.297,21895353.04848002,1.2335535567571698,1.533888888888889,16.899186991869918,4.515162138475022,32227200,-0.17991611111111094,-625072.6457448769,-0.2817953707190603
Lake Fryxell,2002,2001-11-25,-13031136266958.5,19822866.356080018,1.2283249481888685,1.501531914893617,16.80271002710027,4.91375,30758400,-0.03235697399527204,-423661.0573683449,-0.19099495959877447
Lake Fryxell,2003,2002-11-30,105898456018.86638,23296808.330280013,1.1661318902838531,1.4345931372549021,17.374074074074073,4.735855327468231,31968000,-0.06693877763871492,3312.639389979554,0.0014934047287342856
Lake Fryxell,2004,2003-11-30,7610034272256.345,21453712.124980025,1.3688537909324867,1.5681275510204082,17.32,5.050963855421687,31536000,0.13353441376550612,241312.603762568,0.10878859457274832
Lake Fryxell,2005,2004-12-02,-13041016211053.508,20609885.73868002,1.4031035835565226,1.5881354166666666,17.326190476190476,5.321503957783641,31795200,0.020007865646258338,-410156.7598585166,-0.18490694959067736
Lake Fryxell,2006,2005-11-24,-7718054695760.182,21453712.124980025,1.294537515617886,1.5155291545189504,17.415625,5.220972222222223,30888000,-0.07260626214771615,-249872.27064750652,-0.11264746524880954
Lake Fryxell,2007,2006-11-26,25694218962481.434,23788459.643380016,1.4774673969268028,1.6960412621359224,17.41917849592268,4.757991452991453,31665600,0.180512107616972,811423.7204563132,0.36580619816396753
Lake Fryxell,2008,2007-11-24,36329300361598.91,26887872.885480016,1.615112959300094,1.8430216251638272,17.422337837837837,4.243846153846153,31363200,0.14698036302790474,1158341.6348331454,0.5222037992370487
