location_name,date_time,ice.approx,ice.vol,Area_2D,vol,cum_vol,LL,tempV,tempUse
East Lake Bonney,2009-11-19,3.28,11258546.488000004,3493844.248,60722904.4398844,60722904.439884484,63.9,3.2964780224280843,2.9421822766570607
East Lake Bonney,2009-12-14,3.17,10927385.593300004,3493844.248,61054065.33458441,61054065.33458448,63.922,3.328018409771644,2.974172910662824
East Lake Bonney,2009-12-31,3.12,10945388.360700002,3498970.85,61385959.652184404,61385959.65218448,63.955999999999996,3.3384844974947208,2.9904066091954022
East Lake Bonney,2010-11-19,3.46,11938817.835400002,3498970.85,60392530.1774844,60392530.17748448,64.02222222222223,3.367003600809474,2.9832420289855075
East Lake Bonney,2010-12-15,3.37,11665679.728500001,3514814.585,61718556.6834844,61718556.68348448,64.3111111111111,3.378302100862629,3.003341954022988
East Lake Bonney,2011-11-18,3.525,12055708.194199998,3529380.53,62385898.2662844,62385898.26628448,64.63614457831325,3.295668636278405,2.9365156250000006
East Lake Bonney,2011-11-26,3.485,12409122.9806,3534147.864,62385898.2662844,62385898.26628448,64.66506024096385,3.318882305309687,2.9432080965909093
East Lake Bonney,2011-12-18,3.375,11738626.9435,3534147.864,63056394.303384416,63056394.30338448,64.74457831325302,3.2932766883486093,2.942100566572238
East Lake Bonney,2012-11-18,3.51,12127598.560299996,3548606.489,63730537.15418443,63730537.15418448,65.03882352941176,3.256857443645653,2.939029119318182
East Lake Bonney,2012-12-16,3.35,11806172.993399994,3553473.167,64407310.03778443,64407310.03778449,65.13764705882353,3.266041273310603,2.9553441926345605
East Lake Bonney,2013-11-24,3.7643999999999997,13195113.360899996,3563317.547,63730537.15418442,63730537.15418448,65.34615384615384,3.1594211530885024,2.691847527472527
East Lake Bonney,2013-12-13,3.715,13232487.805999996,3573213.133,64407310.03778442,64407310.03778449,65.49230769230769,3.1775808283410742,2.6845532786885244
East Lake Bonney,2014-11-19,3.756666666666667,13251147.662499998,3578233.568,64746473.53808441,64746473.538084485,65.60107238605897,3.1592543079525104,2.7456795580110502
East Lake Bonney,2014-12-20,3.65,12911496.766599998,3578233.568,65086124.43398442,65086124.43398449,65.60938337801608,3.2135067083355984,2.7854111570247935
East Lake Bonney,2015-11-21,3.885357142857143,13609478.506699998,3583308.442,64746473.53808441,64746473.538084485,65.69946380697051,3.2554743417494967,2.8170998603351953
