location_name,date_time,ice.approx,heat_J,heatIce_J,Area_2D,vol,LL,tempV,tempUse,heatTot_J_m2,dec.date,yday
Lake Fryxell,1998-10-29,-4.322617502458211,181606233689332.94,7711419106114021,6990987.794,24289467.62468,17.2,1.6285902076495615,1.950466346153846,-1077074241.0517628,1998.8246575342466,302
Lake Fryxell,1998-11-24,-4.34907677356657,177138185635801.28,7711419106114021,6990987.794,24289467.62468,17.2,1.5899468072717693,1.9120576923076924,-1077713356.4650908,1998.8958904109588,328
Lake Fryxell,1999-10-31,-4.988833333333333,174621364155363.88,8563847209323841,6990987.794,21453712.124980003,17.2,1.7637994879711594,1.972530612244898,-1200005792.0811293,1999.8301369863013,304
Lake Fryxell,2000-12-04,-4.515162138475022,145380422769282.1,7392299951944441,6782791.756,21895353.04848,16.899186991869918,1.425379338498735,1.6921464646464646,-1068427247.9343915,2000.9234972677596,339
Lake Fryxell,2001-10-26,-5.07925925925926,137553426461615.05,7923458468343961,6732368.174,19450079.47368,16.810840108401084,1.4960007679893075,1.717032258064516,-1156488302.5784364,2001.8164383561643,299
Lake Fryxell,2001-11-25,-4.91375,134209118581250.17,6819392407802220,6367124.42,19822866.35608,16.80271002710027,1.4332548267711247,1.6684414893617021,-1049953298.889826,2001.8986301369864,329
Lake Fryxell,2002-10-31,-4.746606494096276,118538504181889.81,8365367210982481,7028637.373,22816855.29788,17.303367003367004,1.1306230691213088,1.3988341584158417,-1173318279.0849595,2002.8301369863013,304
Lake Fryxell,2002-11-30,-4.735855327468231,114840329318704.34,6564756786739560,6676357.038,23296808.330280002,17.374074074074073,1.0779029789476378,1.3569754901960784,-966083212.8524125,2002.9123287671232,334
Lake Fryxell,2003-11-04,-5.021153846153846,148120010925610.12,8987542546229101,7066350.548,21453712.124980003,17.313402061855673,1.492268060883559,1.6609183673469388,-1250917637.790461,2003.841095890411,308
Lake Fryxell,2003-11-30,-5.050963855421687,153439139489782.38,8563847209323841,6990987.794,21453712.124980003,17.32,1.548216612780182,1.7007295918367347,-1203035725.0877013,2003.9123287671232,334
Lake Fryxell,2004-10-30,-5.347625329815303,143643922322288.75,9149243044654980,7028637.373,20209151.26038,17.3072131147541,1.5375834633422472,1.685409649122807,-1281272406.644145,2004.827868852459,304
Lake Fryxell,2004-12-02,-5.321503957783641,149760483280102.44,8607352327957981,6952365.211,20609885.73868,17.326190476190476,1.5739975840683393,1.7146458333333334,-1216505690.9404466,2004.9180327868853,337
Lake Fryxell,2005-11-12,-5.23,140061760230310.31,9544749479697060,7143353.943,21024877.04868,17.4,1.4451382321645527,1.62499852724595,-1316564710.9902349,2005.86301369863,316
Lake Fryxell,2005-12-07,-5.211944444444445,150266281884766.62,9415841655761280,7143353.943,21453712.124980003,17.43125,1.5239623632185413,1.6871938775510205,-1297090337.089645,2005.9315068493152,341
Lake Fryxell,2006-11-11,-4.877692307692308,175450642521653.3,8365367210982481,7028637.373,22816855.29788,17.401993355481725,1.6907862823670685,1.8258985148514852,-1165221099.6005852,2006.8602739726027,315
Lake Fryxell,2006-12-11,-4.638290598290598,184582741130925.97,8285717442198061,7066350.548,23788459.64338,17.436363636363634,1.7064768014022969,1.8479660194174758,-1146438270.5100882,2006.9424657534246,345
Lake Fryxell,2007-11-12,-4.377692307692308,197909280101315.9,7827622077693061,7066350.548,25312396.318380002,17.400675675675675,1.7352777997295832,1.9032971698113208,-1079724639.4394054,2007.86301369863,316
Lake Fryxell,2007-12-06,-4.109999999999999,233667394043961.28,7354033821622800,7066350.548,26887872.88548,17.444,1.9434171766230464,2.0451192660550457,-1007644098.4935465,2007.9287671232876,340
Lake Fryxell,2008-11-13,-4.078225806451613,252114196908963.44,7354033821622800,7066350.548,26887872.88548,17.424999999999997,2.1075559891759683,2.197105504587156,-1005033585.0835909,2008.8661202185792,318
Lake Fryxell,2008-12-14,-3.9427777777777777,286142172724951.7,7296912948193380,7143353.943,28502709.821480002,17.58,2.2685496484442376,2.3279486607142856,-981439647.4555913,2008.950819672131,349
Lake Fryxell,2009-11-07,-3.7166666666666663,286747655198427.25,7018365268099980,7181960.657,30147544.87618,17.702405498281788,2.1590112646314408,2.292045652173913,-937295250.4746022,2009.849315068493,311
Lake Fryxell,2009-12-08,-3.64,309106527805621.5,6851717907327360,7181960.657,30701927.31388,17.7,2.293559446598135,2.389769396551724,-910978448.9204754,2009.9342465753425,342
Lake Fryxell,2010-11-10,-3.8328571428571427,286219787023286.2,7235401117408020,7220088.134,30147544.87618,17.807042253521125,2.156577254768502,2.324858695652174,-962478740.0669608,2010.8575342465754,314
Lake Fryxell,2010-12-08,-3.711515151515152,311216893142885.44,6950933613659340,7257795.826,31819656.806580003,17.964788732394368,2.230441275846789,2.3848855932203388,-914839281.7459308,2010.9342465753425,342
Lake Fryxell,2011-11-08,-3.85,285808971510586.3,7338719580545340,7296783.197,31259295.31628,18.03191489361702,2.08272539546705,2.2922264957264957,-966578068.5294979,2011.8520547945207,312
Lake Fryxell,2011-12-09,-3.835178571428571,313587400093971.8,7390827769125780,7337087.577,31819656.806580003,18.097872340425532,2.2454717521058094,2.3962182203389832,-964584420.5563594,2011.9369863013699,343
Lake Fryxell,2012-11-09,-3.9439655172413794,280132816522288.5,7559272433109960,7337087.577,31259295.31628,18.10952380952381,2.041416989432436,2.285241452991453,-992102048.6938195,2012.8551912568305,314
Lake Fryxell,2012-12-06,-3.8506666666666667,313209513239037,7612572492634320,7376737.309,31819656.806580003,18.141666666666666,2.2433641984358967,2.405552966101695,-989511036.334408,2012.9289617486338,341
Lake Fryxell,2013-11-16,-4.2852,273040861961698.22,8171504776074601,7416593.411,30701927.31388,18.29641693811075,2.015565962649318,2.2548297413793104,-1064971945.52936,2013.8739726027397,320
Lake Fryxell,2013-12-09,-4.115,272879008861625.56,7835515290568981,7416593.411,31819656.806580003,18.342105263157894,1.94467387709552,2.214451271186441,-1019691368.073481,2013.9369863013699,343
Lake Fryxell,2014-11-09,-4.28,282440075209184.3,8228128344559381,7457364.937,31259295.31628,18.39859943977591,2.0523800790186195,2.271299145299145,-1065482021.662553,2014.854794520548,313
Lake Fryxell,2014-12-12,-4.115,297234210665098.75,8059683680575201,7457364.937,31819656.806580003,18.389355742296917,2.1256330378263693,2.3270847457627117,-1040910500.6242102,2014.945205479452,346
Lake Fryxell,2015-11-08,-4.165027397260275,279369178238701.25,8003959954553161,7416593.411,31259295.31628,18.315,2.0274362286268297,2.2676474358974357,-1041528144.8296262,2015.8520547945207,312
Lake Fryxell,2015-12-07,-4.175753424657534,293680264286934.7,8003959954553161,7416593.411,31259295.31628,18.35125,2.1353582650836107,2.3294508547008546,-1039598541.1348884,2015.9315068493152,341
Lake Fryxell,2016-11-06,-4.64171052631579,268611981509389.6,8953470047970541,7498621.32,29596177.72968,18.4993288590604,2.05898848883389,2.2890241228070174,-1158193979.3782187,2016.8469945355191,311
Lake Fryxell,2016-12-11,-4.545,271631785340766.53,8787729083732641,7498621.32,30147544.87618,18.5,2.0448411951216414,2.283254347826087,-1135688406.5712328,2016.9426229508197,346
Lake Fryxell,2017-11-08,-5.03,238902708327077.72,9542177927257860,7457364.937,26887872.88548,18.409150326797384,1.998998289661317,2.2193348623853213,-1247528489.9592655,2017.8520547945207,312
Lake Fryxell,2017-12-07,-4.86,250022242868366.84,9219641048242200,7457364.937,27960849.861580003,18.4,2.0156300935886176,2.237527027027027,-1202786625.188574,2017.9315068493152,341
Lake Fryxell,2018-11-09,-5.076875,215004732571527.38,9477352939484700,7416593.411,26357788.38038,18.304290429042904,1.8205582302596368,2.0708094907407406,-1248868273.2931833,2018.854794520548,313
Lake Fryxell,2018-12-08,-4.95,222088759670825.06,9318009537251640,7416593.411,26887872.88548,18.323529411764707,1.8502659719259507,2.0892366972477063,-1226428398.2576287,2018.9342465753425,342
Lake Fryxell,2019-12-07,-4.71,201354723361858,8995472658235981,7416593.411,27960849.861580003,18.3,1.6158348294806026,1.928641891891892,-1185735478.209043,2019.9315068493152,341
Lake Fryxell,2022-11-10,-3.538,274591630234096.62,6929434438063200,7376737.309,34092238.49178,18.2,1.8328920138221194,2.084424180327869,-902139052.6825255,2022.8575342465754,314
Lake Fryxell,2022-12-09,-3.35,286930201472133.56,6582098676690360,7376737.309,35247713.41318,18.2,1.8605721881679849,2.1389556451612903,-853381137.4220681,2022.9369863013699,343
Lake Fryxell,2023-11-05,-3.416,313787231660549.4,6707689714554660,7337087.577,34092238.49178,18.1,2.109396453200816,2.3921331967213115,-871449661.1622101,2023.8438356164384,309
Lake Fryxell,2023-11-13,-3.44,312147666948231,6707689714554660,7337087.577,34092238.49178,18.1,2.1003850988703823,2.394688524590164,-871673123.7684706,2023.8657534246574,317
Lake Hoare,1995-11-07,-4.062247706422018,18635644481230.973,2160399044421360,2139289.124,13237273.44221,74,0.34975969555354147,0.3328583333333333,-1001156587.9115502,1995.849315068493,311
Lake Hoare,1995-11-23,-4.074724770642201,19436716142947.836,2225965829698260,2181197.115,13237273.44221,74,0.3633096539644085,0.33845,-1011613805.2728499,1995.8931506849315,327
Lake Hoare,1996-11-07,-4.347660550458715,14792456958867.863,2359632250591560,2139289.124,12574488.325210001,73.91059190031153,0.29424999373313804,0.28324568965517244,-1096083632.3275266,1996.8497267759562,312
Lake Hoare,1996-12-04,-4.216622340425532,16901647108107.959,2310213512265300,2139289.124,12738888.65231,73.90218068535826,0.32984393658747463,0.31073076923076925,-1071997159.9113277,1996.9234972677596,339
Lake Hoare,1998-11-04,-4.843703703703704,5505273609201.233,2601733879345500,2139289.124,11769093.68531,73.9,0.12204380136611866,0.12746396396396398,-1213594075.0644882,1998.841095890411,308
Lake Hoare,1998-12-02,-4.803732394366198,6567787948859.12,2601733879345500,2139289.124,11769093.68531,73.9,0.14348098817274568,0.14313513513513512,-1213097408.0512557,1998.9178082191781,336
Lake Hoare,2000-11-12,-4.725788732394366,10973156096862.3,2521578438144900,2061061.132,11611999.79701,73.71035598705502,0.23463388707997612,0.22014090909090908,-1218112962.8172705,2000.863387978142,317
Lake Hoare,2000-12-09,-4.747084507042254,13385101241069.307,2521578438144900,2061061.132,11611999.79701,73.69694444444444,0.2840968633158179,0.26292727272727273,-1216942718.467523,2000.9371584699454,344
Lake Hoare,2001-11-03,-5.032857142857144,9152490404318.5625,2462649500925720,1980950.632,10997475.87741,73.60555555555555,0.20594751095471595,0.19900471698113206,-1238545257.4576838,2001.8383561643836,307
Lake Hoare,2001-11-30,-5.39052027027027,11093406269902.34,2596932274433760,1980950.632,10550760.06401,73.6,0.2579809885079355,0.24476699029126214,-1305352504.1929755,2001.9123287671232,334
Lake Hoare,2002-11-06,-3.8629324324324323,20284065945273.76,1819053791380980,2034370.327,13742968.357010001,74.09919571045576,0.3704530627211688,0.3623780487804878,-884189914.4725906,2002.8465753424657,310
Lake Hoare,2003-11-11,-3.7709890109890107,23235630632093.42,2073953938309380,2181197.115,13742968.357010001,74,0.4165918388270494,0.39553252032520325,-940180185.2636718,2003.8602739726027,315
Lake Hoare,2004-11-04,-3.41,21066430472752.91,1919740694894280,2181197.115,14255986.465510001,74.0031141868512,0.3659679844533145,0.34832142857142856,-870473489.7017901,2004.8415300546449,309
Lake Hoare,2004-12-07,-3.421848404255319,25458564094970.766,1867838591451420,2181197.115,14428648.15361,74.03066666666666,0.4368981766070421,0.42595669291338584,-844664617.7397172,2004.931693989071,342
Lake Hoare,2005-11-17,-3.48,23095429840674.9,2189378131129800,2266839.043,14255986.465510001,74.01518987341773,0.40288230607815023,0.3911042328042328,-955640281.5535611,2005.876712328767,321
Lake Hoare,2005-12-11,-3.4595820895522387,26399853933022.41,2274709508590500,2287540.975,14428648.15361,74.07594936708861,0.4517027300590733,0.4404488188976378,-982850003.2256154,2005.9424657534246,345
Lake Hoare,2006-11-17,-3.3193406593406594,23149554735120.457,1897067396018700,2236083.63,14776376.724510001,74.2,0.38845737944886743,0.3762403100775194,-838035669.213132,2006.876712328767,321
Lake Hoare,2006-12-15,-3.31010989010989,26466531491692.734,1897067396018700,2236083.63,14776376.724510001,74.2,0.4421473271769646,0.4215452196382429,-836552282.4953588,2006.9534246575342,349
Lake Hoare,2007-11-17,-3.215,28206823088541.867,1844455999731660,2236083.63,14951398.002910001,74.21475409836066,0.46577057392668425,0.43934153846153845,-812245638.8820834,2007.876712328767,321
Lake Hoare,2007-12-11,-3.035,34730148640484.957,1753011284359680,2253501.052,15480955.41141,74.25409836065573,0.5517273698253085,0.5141703007518797,-762494046.4057946,2007.9424657534246,345
Lake Hoare,2008-11-18,-3.3096774193548386,35610572860217.5,1844455999731660,2236083.63,14951398.002910001,74.26521739130435,0.5831134669250264,0.5473346153846154,-808934604.503787,2008.879781420765,323
Lake Hoare,2009-11-13,-3.22,33510973974087.008,1904883914532060,2287540.975,15658939.551010001,74.59599999999999,0.5269430835892615,0.5033563432835821,-818071877.6230764,2009.8657534246574,317
Lake Hoare,2009-12-11,-3.045,39236064699672.38,1797265218245040,2287540.975,16016952.512710001,74.59526627218935,0.6011743303813109,0.5723511029411764,-768523568.6523025,2009.9424657534246,345
Lake Hoare,2010-11-15,-3.4070689655172415,28434554121147.387,2011669648339320,2287540.975,15303697.58891,74.53777777777778,0.459183278213702,0.4375719696969697,-866972489.6264087,2010.8712328767124,319
Lake Hoare,2010-12-12,-3.3,34132886671390.88,1958385946895820,2287540.975,15480955.41141,74.59777777777778,0.5420622632638659,0.5145018796992481,-841188455.7497069,2010.945205479452,346
Lake Hoare,2011-11-13,-3.3925806451612903,27586278695691.004,1973923072232040,2296711.833,15658939.551010001,74.7247191011236,0.43772393219906897,0.4134832089552239,-847444927.8183994,2011.8657534246574,317
Lake Hoare,2011-12-12,-3.285,29442764217270.55,1935611594656920,2305629.365,16016952.512710001,74.78988764044944,0.455806908718321,0.43215992647058826,-826745555.6282132,2011.945205479452,346
Lake Hoare,2012-12-08,-3.4153333333333333,29995366142783.156,1989522403912620.2,2305629.365,15837608.50321,74.84747474747475,0.46909018552630866,0.43991296296296295,-849888133.5898656,2012.9344262295083,343
Lake Hoare,2013-12-11,-3.204395280235988,22404786588937.273,1966580038848780.2,2323001.581,16377664.39891,74.95652173913044,0.3466491014633692,0.34170108695652174,-836923774.8959773,2013.9424657534246,345
Lake Hoare,2014-12-14,-2.8982500000000004,54234567380087.58,1762172356582980,2331491.173,17290812.45921,75.14651162790697,0.7674614276899399,0.6938986013986014,-732551685.7973936,2014.9506849315069,348
Lake Hoare,2015-12-13,-3.215875370919881,42831432325372.24,1997773456529520.2,2339743.965,16741017.39481,75.19397590361446,0.6299724510853317,0.6130482142857143,-835536731.1329503,2015.9479452054795,347
Lake Hoare,2016-12-15,-3.5073809523809523,34844232577448.777,2161313152488360.2,2339743.965,16196973.16341,75.2,0.5324067966027289,0.5169069343065693,-908846844.6635834,2016.9535519125684,350
Lake Hoare,2017-12-09,-3.915,25396371135265.438,2306215385151660,2331491.173,15480955.41141,75.11666666666666,0.40951612941060483,0.3952218045112782,-978266201.6608006,2017.9369863013699,343
Lake Hoare,2018-11-15,-4.3,16654574750888.006,2518011738433800,2331491.173,14776376.724510001,75.10877742946708,0.2863665972547638,0.2840343023255814,-1072857230.8787,2018.8712328767124,319
Lake Hoare,2018-12-14,-4.125,19368784967676.902,2465400342146760,2331491.173,14951398.002910001,75.10217391304347,0.3266178194707755,0.31763346153846156,-1049127522.1221192,2018.9506849315069,348
Lake Hoare,2019-11-16,-4.156034482758621,18225607647795.527,2465400342146760,2331491.173,14951398.002910001,75.10101694915254,0.30790493289480236,0.2945846153846154,-1049617842.3657126,2019.8739726027397,320
Lake Hoare,2019-12-13,-4.035,21440753763957.977,2412561151720800,2331491.173,15127177.079510001,75.13380281690141,0.3568904973090694,0.34366030534351144,-1025575573.9705912,2019.9479452054795,347
