specCond,pred,location_name
9.5,5.772175379524107,West Lake Bonney
9.600000000000001,5.831695493748995,West Lake Bonney
9.700000000000001,5.891307528744754,West Lake Bonney
9.8,5.951012648315768,West Lake Bonney
9.9,6.010812009605978,West Lake Bonney
10,6.0707067556716225,West Lake Bonney
10.100000000000001,6.130698016279872,West Lake Bonney
10.200000000000001,6.190786911866745,West Lake Bonney
10.3,6.25097455361648,West Lake Bonney
10.4,6.311262050449557,West Lake Bonney
10.5,6.37165050627253,West Lake Bonney
10.600000000000001,6.4321410233573175,West Lake Bonney
10.700000000000001,6.492734703974762,West Lake Bonney
10.8,6.553432650395834,West Lake Bonney
10.9,6.614235964891478,West Lake Bonney
11,6.675145749732664,West Lake Bonney
11.100000000000001,6.736163107157083,West Lake Bonney
11.200000000000001,6.797289136440462,West Lake Bonney
11.3,6.8585249315983035,West Lake Bonney
11.4,6.919871586105195,West Lake Bonney
11.5,6.981330193435795,West Lake Bonney
11.600000000000001,7.04290184706467,West Lake Bonney
11.700000000000001,7.104587640466512,West Lake Bonney
11.8,7.166388667115925,West Lake Bonney
11.9,7.228306020487473,West Lake Bonney
12,7.29034079219749,West Lake Bonney
12.100000000000001,7.352494067196034,West Lake Bonney
12.200000000000001,7.414766928938768,West Lake Bonney
12.3,7.477160460881429,West Lake Bonney
12.4,7.539675746479631,West Lake Bonney
12.5,7.60231386918899,West Lake Bonney
12.600000000000001,7.6650759124649,West Lake Bonney
12.700000000000001,7.727962957585554,West Lake Bonney
12.8,7.790976078529965,West Lake Bonney
12.9,7.854116347749169,West Lake Bonney
13,7.917384837692211,West Lake Bonney
13.100000000000001,7.980782617546431,West Lake Bonney
13.200000000000001,8.04431074201078,West Lake Bonney
13.3,8.107970259464402,West Lake Bonney
13.4,8.171762210802854,West Lake Bonney
13.5,8.235687633500618,West Lake Bonney
13.600000000000001,8.29974756473797,West Lake Bonney
13.700000000000001,8.363943035710172,West Lake Bonney
13.8,8.42827507182674,West Lake Bonney
13.9,8.492744698260807,West Lake Bonney
14,8.557352940185375,West Lake Bonney
14.100000000000001,8.622100822771387,West Lake Bonney
14.200000000000001,8.68698936831808,West Lake Bonney
14.3,8.752019590050665,West Lake Bonney
14.4,8.817192492314746,West Lake Bonney
14.5,8.882509074262984,West Lake Bonney
14.600000000000001,8.94797033493704,West Lake Bonney
14.700000000000001,9.013577273378644,West Lake Bonney
14.8,9.079330886335825,West Lake Bonney
14.9,9.145232158137475,West Lake Bonney
15,9.211282047135818,West Lake Bonney
15.100000000000001,9.277481486840507,West Lake Bonney
15.200000000000001,9.343831405979294,West Lake Bonney
15.3,9.410332724025778,West Lake Bonney
15.4,9.47698634794196,West Lake Bonney
15.5,9.543793178778962,West Lake Bonney
15.600000000000001,9.610754108649388,West Lake Bonney
15.700000000000001,9.677870011450587,West Lake Bonney
15.8,9.74514174420041,West Lake Bonney
15.9,9.812570149815066,West Lake Bonney
16,9.880156066469418,West Lake Bonney
16.1,9.947900317459123,West Lake Bonney
16.2,10.015803706049383,West Lake Bonney
16.3,10.08386702893867,West Lake Bonney
16.400000000000002,10.152091082371548,West Lake Bonney
16.5,10.220476651102224,West Lake Bonney
16.6,10.289024502502379,West Lake Bonney
16.7,10.357735401961989,West Lake Bonney
16.8,10.426610114870975,West Lake Bonney
16.900000000000002,10.495649406619272,West Lake Bonney
17,10.56485404259682,West Lake Bonney
17.1,10.634224788193578,West Lake Bonney
17.2,10.703762408792954,West Lake Bonney
17.3,10.773467665807168,West Lake Bonney
17.400000000000002,10.843341309937372,West Lake Bonney
17.5,10.913384089902642,West Lake Bonney
17.6,10.983596747350745,West Lake Bonney
17.7,11.053980015014552,West Lake Bonney
17.8,11.124534625057507,West Lake Bonney
17.900000000000002,11.195261309643087,West Lake Bonney
18,11.266160800934742,West Lake Bonney
18.1,11.33723383109593,West Lake Bonney
18.2,11.408481132290106,West Lake Bonney
18.3,11.479903436680793,West Lake Bonney
18.400000000000002,11.55150147586582,West Lake Bonney
18.5,11.623275969852763,West Lake Bonney
18.6,11.69522761941272,West Lake Bonney
18.7,11.76735712144746,West Lake Bonney
18.8,11.839665172857579,West Lake Bonney
18.900000000000002,11.912152470033227,West Lake Bonney
19,11.984819700121072,West Lake Bonney
19.1,12.05766754222855,West Lake Bonney
19.200000000000003,12.130696675195182,West Lake Bonney
19.3,12.203907777560879,West Lake Bonney
19.400000000000002,12.27730151950066,West Lake Bonney
19.5,12.35087856191339,West Lake Bonney
19.6,12.424639565215365,West Lake Bonney
19.700000000000003,12.498585189822343,West Lake Bonney
19.8,12.572716092464297,West Lake Bonney
19.900000000000002,12.647032917394661,West Lake Bonney
20,12.721536306229247,West Lake Bonney
20.1,12.796226900578588,West Lake Bonney
20.200000000000003,12.871105337606977,West Lake Bonney
20.3,12.946172241982623,West Lake Bonney
20.400000000000002,13.021428236194609,West Lake Bonney
20.5,13.096873939911397,West Lake Bonney
20.6,13.1725099599173,West Lake Bonney
20.700000000000003,13.248336899319732,West Lake Bonney
20.8,13.324355361152818,West Lake Bonney
20.900000000000002,13.40056593818747,West Lake Bonney
21,13.476969198317782,West Lake Bonney
21.1,13.553565705291646,West Lake Bonney
21.200000000000003,13.630356022856837,West Lake Bonney
21.3,13.707340714761187,West Lake Bonney
21.400000000000002,13.784520344752487,West Lake Bonney
21.5,13.861895476578624,West Lake Bonney
21.6,13.939466673987368,West Lake Bonney
21.700000000000003,14.01723450072653,West Lake Bonney
21.8,14.095199519780856,West Lake Bonney
21.900000000000002,14.173362276877533,West Lake Bonney
22,14.251723296327263,West Lake Bonney
22.1,14.330283091397362,West Lake Bonney
22.200000000000003,14.409042165024921,West Lake Bonney
22.3,14.488001019612064,West Lake Bonney
22.400000000000002,14.56716015756085,West Lake Bonney
22.5,14.64652008127338,West Lake Bonney
22.6,14.726081293151772,West Lake Bonney
22.700000000000003,14.805844295598078,West Lake Bonney
22.8,14.885809591014372,West Lake Bonney
22.900000000000002,14.965977681802798,West Lake Bonney
23,15.046349068174592,West Lake Bonney
23.1,15.126924236641479,West Lake Bonney
23.200000000000003,15.207703668430398,West Lake Bonney
23.3,15.288687844757106,West Lake Bonney
23.400000000000002,15.369877246803206,West Lake Bonney
23.5,15.45127234951456,West Lake Bonney
23.6,15.532873614380161,West Lake Bonney
23.700000000000003,15.614681501136868,West Lake Bonney
23.8,15.696696469521552,West Lake Bonney
23.900000000000002,15.778918979270934,West Lake Bonney
24,15.861349486213207,West Lake Bonney
24.1,15.943988431662277,West Lake Bonney
24.200000000000003,16.026836253563776,West Lake Bonney
24.3,16.109893389863363,West Lake Bonney
24.400000000000002,16.19316027850667,West Lake Bonney
24.5,16.2766373574394,West Lake Bonney
24.6,16.360325064607164,West Lake Bonney
24.700000000000003,16.444223837955633,West Lake Bonney
24.8,16.528334115430443,West Lake Bonney
24.900000000000002,16.612656334977256,West Lake Bonney
25,16.69719093447597,West Lake Bonney
25.1,16.781938344600267,West Lake Bonney
25.200000000000003,16.86689898241535,West Lake Bonney
25.3,16.95207326347559,West Lake Bonney
25.400000000000002,17.037461603335334,West Lake Bonney
25.5,17.12306441754897,West Lake Bonney
25.6,17.20888212167081,West Lake Bonney
25.700000000000003,17.29491513125529,West Lake Bonney
25.8,17.381163861856713,West Lake Bonney
25.900000000000002,17.467628729029432,West Lake Bonney
26,17.55431014832785,West Lake Bonney
26.1,17.64120853530629,West Lake Bonney
26.200000000000003,17.72832430551914,West Lake Bonney
26.3,17.815657874520753,West Lake Bonney
26.400000000000002,17.90320965786549,West Lake Bonney
26.5,17.990980071107714,West Lake Bonney
26.6,18.078969529801775,West Lake Bonney
26.700000000000003,18.167178449502032,West Lake Bonney
26.8,18.255607245762874,West Lake Bonney
26.900000000000002,18.344256334138635,West Lake Bonney
27,18.43312613018367,West Lake Bonney
27.1,18.522217049452372,West Lake Bonney
27.200000000000003,18.611529507499085,West Lake Bonney
27.3,18.701063919878155,West Lake Bonney
27.400000000000002,18.79082070214396,West Lake Bonney
27.5,18.880800269850848,West Lake Bonney
27.6,18.971003038553228,West Lake Bonney
27.700000000000003,19.061429423805386,West Lake Bonney
27.8,19.152079841161726,West Lake Bonney
27.900000000000002,19.24295470617661,West Lake Bonney
28,19.334054434404372,West Lake Bonney
28.1,19.425379441399397,West Lake Bonney
28.200000000000003,19.516930142716063,West Lake Bonney
28.3,19.608706953908687,West Lake Bonney
28.400000000000002,19.700710290531642,West Lake Bonney
28.5,19.792940568139322,West Lake Bonney
28.6,19.88539820228605,West Lake Bonney
28.700000000000003,19.9780836085262,West Lake Bonney
28.8,20.070997202414155,West Lake Bonney
28.900000000000002,20.164139399504226,West Lake Bonney
29,20.257510615350807,West Lake Bonney
29.1,20.35111126550826,West Lake Bonney
29.200000000000003,20.444941765530952,West Lake Bonney
29.3,20.539002530973214,West Lake Bonney
29.400000000000002,20.633293977389442,West Lake Bonney
29.5,20.72781652033395,West Lake Bonney
29.6,20.822570575361176,West Lake Bonney
29.700000000000003,20.91755655802541,West Lake Bonney
29.8,21.012774883881026,West Lake Bonney
29.900000000000002,21.10822596848238,West Lake Bonney
30,21.20391022738389,West Lake Bonney
30.1,21.29982807613985,West Lake Bonney
30.200000000000003,21.39597993030467,West Lake Bonney
30.3,21.49236620543265,West Lake Bonney
30.400000000000002,21.588987317078203,West Lake Bonney
30.5,21.6858436807957,West Lake Bonney
30.6,21.782935712139437,West Lake Bonney
30.700000000000003,21.88026382666384,West Lake Bonney
30.8,21.977828439923236,West Lake Bonney
30.900000000000002,22.075629967472,West Lake Bonney
31,22.173668824864478,West Lake Bonney
31.1,22.271945427655048,West Lake Bonney
31.200000000000003,22.370460191398063,West Lake Bonney
31.3,22.46921353164788,West Lake Bonney
31.400000000000002,22.568205863958866,West Lake Bonney
31.5,22.66743760388537,West Lake Bonney
31.6,22.766909166981776,West Lake Bonney
31.700000000000003,22.866620968802437,West Lake Bonney
31.8,22.966573424901686,West Lake Bonney
31.900000000000002,23.06676695083393,West Lake Bonney
32,23.167201957968,West Lake Bonney
32.1,23.267878841115543,West Lake Bonney
32.2,23.368797990994523,West Lake Bonney
32.300000000000004,23.469959795237433,West Lake Bonney
32.4,23.571364625090453,West Lake Bonney
32.5,23.673012846381326,West Lake Bonney
32.6,23.77490482493422,West Lake Bonney
32.7,23.877040926573386,West Lake Bonney
32.800000000000004,23.97942151712303,West Lake Bonney
32.9,24.082046962407368,West Lake Bonney
33,24.184917628250616,West Lake Bonney
33.1,24.288033880476995,West Lake Bonney
33.2,24.39139608491075,West Lake Bonney
33.300000000000004,24.49500460737609,West Lake Bonney
33.4,24.59885981369719,West Lake Bonney
33.5,24.702962069698337,West Lake Bonney
33.6,24.807311741203726,West Lake Bonney
33.7,24.911909194037555,West Lake Bonney
33.800000000000004,25.016754794024074,West Lake Bonney
33.9,25.12184890698749,West Lake Bonney
34,25.227191898752018,West Lake Bonney
34.1,25.33278413514187,West Lake Bonney
34.2,25.438625981981296,West Lake Bonney
34.300000000000004,25.54471780509451,West Lake Bonney
34.4,25.651059970305703,West Lake Bonney
34.5,25.75765284343912,West Lake Bonney
34.6,25.86449679031898,West Lake Bonney
34.7,25.971592176769484,West Lake Bonney
34.800000000000004,26.07893936861488,West Lake Bonney
34.9,26.18653873167935,West Lake Bonney
